pgs_id,reported_trait,category
PGS004713,Alkaline phosphatase,Digestive & Liver Health
PGS004714,Alkaline phosphatase,Digestive & Liver Health
PGS000670,Alkaline phosphatase [U/L],Digestive & Liver Health
PGS004875,All Cancers,Cancer
PGS004280,All-cause dementia,Brain & Mental Health
PGS004281,All-cause dementia,Brain & Mental Health
PGS004282,All-cause dementia,Brain & Mental Health
PGS004283,All-cause dementia,Brain & Mental Health
PGS004284,All-cause dementia,Brain & Mental Health
PGS005170,All-cause dementia,Brain & Mental Health
PGS000929,All-cause dementia (algorithmically-defined),Brain & Mental Health
PGS000318,All-cause mortality (female),Other Health Conditions
PGS000319,All-cause mortality (male),Other Health Conditions
PGS000780,Allergic disease,Immune & Autoimmune
PGS000800,Allergic disease,Immune & Autoimmune
PGS000810,"Allergic disease (asthma, hay fever or eczema)",Immune & Autoimmune
PGS001284,"Allergic disease (hay fever, allergic rhinitis, or eczema)",Immune & Autoimmune
PGS001286,Allergic disease (hay fever or allergic rhinitis) (diagnosed by doctor),Immune & Autoimmune
PGS001283,"Allergic disease (hay fever, rhinitis or eczema)",Immune & Autoimmune
PGS001285,"Allergic disease (hay fever, rhinitis, or eczema) (diagnosed by doctor)",Immune & Autoimmune
PGS019275,Allergic rhinitis,Immune & Autoimmune
PGS019276,Allergic rhinitis,Immune & Autoimmune
PGS019277,Allergic rhinitis,Immune & Autoimmune
PGS019278,Allergic rhinitis,Immune & Autoimmune
PGS019279,Allergic rhinitis,Immune & Autoimmune
PGS000867,Allergy,Immune & Autoimmune
PGS001885,Allergy/adverse effect of penicillin,Immune & Autoimmune
PGS002097,Allergy/adverse effect of penicillin,Immune & Autoimmune
PGS000025,Alzheimer's disease,Brain & Mental Health
PGS000026,Alzheimer's disease,Brain & Mental Health
PGS000779,Alzheimer's disease,Brain & Mental Health
PGS000811,Alzheimer's disease,Brain & Mental Health
PGS000812,Alzheimer's disease,Brain & Mental Health
PGS000823,Alzheimer's disease,Brain & Mental Health
PGS000876,Alzheimer's disease,Brain & Mental Health
PGS000898,Alzheimer's disease,Brain & Mental Health
PGS001775,Alzheimer's disease,Brain & Mental Health
PGS001828,Alzheimer's disease,Brain & Mental Health
PGS002249,Alzheimer's disease,Brain & Mental Health
PGS002280,Alzheimer's disease,Brain & Mental Health
PGS002753,Alzheimer's disease,Brain & Mental Health
PGS003441,Alzheimer's disease,Brain & Mental Health
PGS003953,Alzheimer's disease,Brain & Mental Health
PGS003954,Alzheimer's disease,Brain & Mental Health
PGS003955,Alzheimer's disease,Brain & Mental Health
PGS003956,Alzheimer's disease,Brain & Mental Health
PGS003957,Alzheimer's disease,Brain & Mental Health
PGS003958,Alzheimer's disease,Brain & Mental Health
PGS003992,Alzheimer's disease,Brain & Mental Health
PGS004008,Alzheimer's disease,Brain & Mental Health
PGS004034,Alzheimer's disease,Brain & Mental Health
PGS004062,Alzheimer's disease,Brain & Mental Health
PGS004092,Alzheimer's disease,Brain & Mental Health
PGS004116,Alzheimer's disease,Brain & Mental Health
PGS004146,Alzheimer's disease,Brain & Mental Health
PGS004227,Alzheimer's disease,Brain & Mental Health
PGS004228,Alzheimer's disease,Brain & Mental Health
PGS004229,Alzheimer's disease,Brain & Mental Health
PGS004285,Alzheimer's disease,Brain & Mental Health
PGS004286,Alzheimer's disease,Brain & Mental Health
PGS004287,Alzheimer's disease,Brain & Mental Health
PGS004288,Alzheimer's disease,Brain & Mental Health
PGS004289,Alzheimer's disease,Brain & Mental Health
PGS004863,Alzheimer's disease,Brain & Mental Health
PGS004898,Alzheimer's disease,Brain & Mental Health
PGS005389,Alzheimer's disease,Brain & Mental Health
PGS005390,Alzheimer's disease,Brain & Mental Health
PGS005391,Alzheimer's disease,Brain & Mental Health
PGS012548,Alzheimer's disease,Brain & Mental Health
PGS018906,Alzheimers disease,Brain & Mental Health
PGS018907,Alzheimers disease,Brain & Mental Health
PGS018908,Alzheimers disease,Brain & Mental Health
PGS018909,Alzheimers disease,Brain & Mental Health
PGS018910,Alzheimers disease,Brain & Mental Health
PGS001348,Alzheimer's disease (algorithmically-defined),Brain & Mental Health
PGS003440,Alzheimer's disease in non APOE,Brain & Mental Health
PGS000053,Alzheimer's disease (late onset),Brain & Mental Health
PGS000054,Alzheimer's disease (late onset),Brain & Mental Health
PGS003574,Alzheimer's disease (late onset),Brain & Mental Health
PGS001349,Alzheimer's disease (time-to-event),Brain & Mental Health
PGS001859,Anal and rectal polyp,Digestive & Liver Health
PGS002070,Anal and rectal polyp,Digestive & Liver Health
PGS000703,Angina,Cardiovascular & Cholesterol
PGS001260,Angina,Cardiovascular & Cholesterol
PGS012540,Angina,Cardiovascular & Cholesterol
PGS018407,Angina pectoris,Cardiovascular & Cholesterol
PGS005047,Angina pectoris (PheCode 411.3),Cardiovascular & Cholesterol
