pgs_id,reported_trait,category
PGS002745,Rheumatoid arthritis,Immune & Autoimmune
PGS004049,Rheumatoid arthritis,Immune & Autoimmune
PGS004064,Rheumatoid arthritis,Immune & Autoimmune
PGS004079,Rheumatoid arthritis,Immune & Autoimmune
PGS004094,Rheumatoid arthritis,Immune & Autoimmune
PGS004103,Rheumatoid arthritis,Immune & Autoimmune
PGS003994,Rheumatoid arthritis,Immune & Autoimmune
PGS004148,Rheumatoid arthritis,Immune & Autoimmune
PGS001310,Rheumatoid arthritis,Immune & Autoimmune
PGS004163,Rheumatoid arthritis,Immune & Autoimmune
PGS000194,Rheumatoid arthritis (CCP-negative),Immune & Autoimmune
PGS000195,Rheumatoid arthritis (CCP-negative),Immune & Autoimmune
PGS000326,Rheumatoid-factor-negative Polyarthritis (Juvenile Idiophatic Arthritis),Immune & Autoimmune
PGS000922,Sarcoidosis,Immune & Autoimmune
PGS000923,Sarcoidosis (time-to-event),Immune & Autoimmune
PGS000135,Schizophrenia,Neurological & Psychiatric
PGS001140,Seborrheic keratosis (time-to-event),Other
PGS001311,Seropositive rheumatoid arthritis (time-to-event),Immune & Autoimmune
PGS000126,Serum urate,Blood Panel
PGS001308,Sjogren's syndrome/sicca syndrome,Immune & Autoimmune
PGS001041,Skin cancer,Cancer
PGS000950,Skin changes due to chronic exposure to nonionising radiation (time-to-event),Other
PGS003382,Skin cutaneous melanoma,Cancer
PGS000964,Slipped disc,Other
PGS003066,Smoking status,Neurological & Psychiatric
PGS003064,Smoking status,Neurological & Psychiatric
PGS003065,Smoking status,Neurological & Psychiatric
PGS001054,Snoring,Neurological & Psychiatric
PGS001117,Started insulin within one year diagnosis of diabetes,Metabolic & Endocrine
PGS001798,Stroke,Cardiovascular
PGS001793,Stroke,Cardiovascular
PGS003755,Systemic lupus erythematosus,Immune & Autoimmune
PGS000328,Systemic lupus erythematosus,Immune & Autoimmune
PGS003960,Systemic lupus erythematosus,Immune & Autoimmune
PGS004917,Systemic lupus erythematosus,Immune & Autoimmune
PGS000754,Systemic lupus erythematosus,Immune & Autoimmune
PGS000196,Systemic lupus erythematosus,Immune & Autoimmune
PGS002238,Systolic blood pressure,Cardiovascular
PGS005120,Systolic blood pressure,Cardiovascular
PGS004235,Systolic blood pressure,Cardiovascular
PGS000712,T2D (cases vs HbA1c filtered controls),Blood Panel
PGS000796,Testicular cancer,Cancer
PGS000086,Testicular cancer,Cancer
PGS001164,Testicular cancer,Cancer
PGS000208,Thyroid cancer,Cancer
PGS000209,Thyroid cancer,Cancer
PGS004954,Thyroid cancer,Cancer
PGS000797,Thyroid cancer,Cancer
PGS001794,Thyroid cancer,Cancer
PGS001289,Thyroid cancer,Cancer
PGS001799,Thyroid cancer,Cancer
PGS000207,Thyroid cancer,Cancer
PGS001354,Thyroid cancer,Cancer
PGS000087,Thyroid cancer,Cancer
